team,metro,player_count,avg_stars,total_stars
Michigan,"Trenton-Princeton, NJ","1","0","0"
Washington,"Tucson, AZ","1","3","3"
Alabama,"Tulsa, OK","1","4","4"
Alabama,"Tuscaloosa, AL","7","1.571428571","11"
Alabama,"Tyler, TX","1","4","4"
Texas,"Tyler, TX","1","4","4"
Michigan,"Urban Honolulu, HI","1","4","11"
Texas,"Urban Honolulu, HI","2","4","8"
Washington,"Urban Honolulu, HI","3","3.666666667","4"
Michigan,"Valdosta, GA","1","3","3"
Washington,"Vallejo, CA","1","3","3"
Alabama,"Virginia Beach-Chesapeake-Norfolk, VA-NC","1","5","5"
Michigan,"Virginia Beach-Chesapeake-Norfolk, VA-NC","1","4","4"
Texas,"Waco, TX","3","4","12"
Washington,"Waco, TX","1","3","3"
Alabama,"Warner Robins, GA","1","5","5"
Alabama,"Washington-Arlington-Alexandria, DC-VA-MD-WV","3","3","25"
Michigan,"Washington-Arlington-Alexandria, DC-VA-MD-WV","8","3.125","9"
Texas,"Washington-Arlington-Alexandria, DC-VA-MD-WV","1","4","4"
Michigan,"Worcester, MA","2","3.5","7"
Michigan,"Youngstown-Warren, OH","2","3","6"
