fid,PNT1N,PNT2N,ID1,ID2,distance
"206",players,schools,"4686728","3",937.647290499739
"207",players,schools,"4689338","4",2524.22385947234
"208",players,schools,"4690298","1",725.698745868198
"209",players,schools,"4690299","1",116.199994304657
"210",players,schools,"4690300","1",718.944046525462
"211",players,schools,"4690303","1",48.3052607340874
"212",players,schools,"4690304","1",33.3521992098848
"213",players,schools,"4690305","1",18.7899818675843
"214",players,schools,"4690306","1",195.60540921974
"215",players,schools,"4690811","3",206.070797433805
"216",players,schools,"4690975","3",202.193215755224
"217",players,schools,"4690976","3",212.306721788056
"218",players,schools,"4691142","4",930.736063143677
"219",players,schools,"4691688","2",472.640980404843
"220",players,schools,"4692023","2",164.88438940883
"221",players,schools,"4692024","2",72.5769591120201
"222",players,schools,"4692032","2",63.6746321725055
"223",players,schools,"4692033","2",663.694109945473
"224",players,schools,"4692034","2",1102.73273633056
"225",players,schools,"4692044","2",35.6862283470667
"226",players,schools,"4692048","2",56.8895014480366
"227",players,schools,"4694152","3",168.936567170249
"228",players,schools,"4695287","2",56.8895014480366
"229",players,schools,"4695289","2",194.128727624355
"230",players,schools,"4695294","2",454.687014756983
"231",players,schools,"4695295","2",55.4267622509563
"232",players,schools,"4695705","1",6334.35784065412
"233",players,schools,"4696013","4",2435.2387271933
"234",players,schools,"4696688","1",331.075016719042
"235",players,schools,"4697671","4",75.7740845530505
"236",players,schools,"4697673","4",114.717754748822
"237",players,schools,"4701935","3",240.424810811207
"238",players,schools,"4701937","1",596.182154768716
"239",players,schools,"4702755","1",1121.07232139843
"240",players,schools,"4704532","3",168.936567170249
"241",players,schools,"4706856","3",203.5010656884
"242",players,schools,"4708062","3",1451.7266052525
"243",players,schools,"4708488","2",123.988916951775
"244",players,schools,"4711413","1",1490.52703868483
"245",players,schools,"4712882","1",1211.62167382676
"246",players,schools,"4717429","3",100.889624368413
"247",players,schools,"4723086","1",2151.63629818933
"248",players,schools,"4751681","1",945.393892322095
"249",players,schools,"4794102","1",2667.03858637953
"250",players,schools,"4801729","3",659.700645829963
"251",players,schools,"4806290","3",1.33938876257465
"252",players,schools,"4808746","1",1039.27375272922
"253",players,schools,"4808839","2",255.801265912353
"254",players,schools,"4816090","4",1492.00492057976
"255",players,schools,"4816097","4",3583.01205328118
"256",players,schools,"4832800","4",54.7163156914643
"257",players,schools,"4833591","3",192.751259588578
"258",players,schools,"4837473","2",255.801265912353
"259",players,schools,"4868340","1",58.0482099293734
"260",players,schools,"4868898","4",3001.6333919303
"261",players,schools,"4868929","3",1.33938876257465
"262",players,schools,"4869534","2",553.360961711693
